;velocidade;rms
0;100;0.009735266
1;125;0.011544047
2;150;0.013522843
3;175;0.01499028
4;200;0.016634217
5;225;0.018314928
6;250;0.020408338
7;275;0.022648372
8;300;0.025325876
9;325;0.028933283
10;350;0.03199131
11;375;0.034273945
12;400;0.034925472
13;425;0.033662278
14;450;0.03153665
15;475;0.030324746
16;500;0.028215311
17;525;0.025308829
18;550;0.022893971
19;575;0.020031573
20;600;0.017593697
21;625;0.014936334
22;650;0.012303344
23;675;0.009964055
24;700;0.007113115
25;725;0.004320409
26;750;0.002732373
